#x-axis, nbins, first bin low edge, last bin high edge
3200, 0.0025, 16.0025
# bin number, value
940, 0.390616
941, 0.354986
942, 0.344207
943, 0.348545
944, 0.353548
945, 0.385693
946, 0.359405
947, 0.344047
948, 0.36065
949, 0.375626
950, 0.378094
951, 0.319083
952, 0.35192
953, 0.390377
954, 0.364752
955, 0.339789
956, 0.37501
957, 0.359784
958, 0.352633
959, 0.353224
960, 0.388749
961, 0.353049
962, 0.353882
963, 0.393096
964, 0.37575
965, 0.370486
966, 0.342658
967, 0.378626
968, 0.353771
969, 0.387831
970, 0.37767
971, 0.39561
972, 0.397605
973, 0.389381
974, 0.356325
975, 0.359943
976, 0.406067
977, 0.364559
978, 0.374525
979, 0.352097
980, 0.386872
981, 0.364035
982, 0.364014
983, 0.349702
984, 0.383793
985, 0.338024
986, 0.345281
987, 0.349377
988, 0.39038
989, 0.309558
990, 0.309872
991, 0.330933
992, 0.349574
993, 0.369457
994, 0.35609
995, 0.349452
996, 0.326296
997, 0.368608
998, 0.341297
999, 0.340608
1000, 0.399351
1001, 0.352316
1002, 0.321226
1003, 0.35745
1004, 0.330721
1005, 0.347712
1006, 0.35751
1007, 0.328533
1008, 0.384738
1009, 0.339485
1010, 0.358316
1011, 0.351716
1012, 0.337129
1013, 0.318708
1014, 0.365583
1015, 0.322576
1016, 0.34798
1017, 0.351436
1018, 0.364823
1019, 0.367996
1020, 0.321499
1021, 0.338503
1022, 0.343032
1023, 0.33376
1024, 0.333363
1025, 0.357742
1026, 0.344528
1027, 0.327594
1028, 0.332671
1029, 0.326843
1030, 0.356312
1031, 0.343841
1032, 0.310882
1033, 0.312105
1034, 0.329209
1035, 0.346908
1036, 0.347988
1037, 0.310499
1038, 0.317687
1039, 0.32579
1040, 0.377758
1041, 0.376593
1042, 0.348252
1043, 0.319174
1044, 0.324906
1045, 0.279342
1046, 0.350375
1047, 0.291701
1048, 0.299821
1049, 0.28817
1050, 0.340004
1051, 0.362919
1052, 0.323576
1053, 0.33862
1054, 0.342431
1055, 0.321648
1056, 0.346391
1057, 0.317956
1058, 0.346925
1059, 0.313989
1060, 0.292508
1061, 0.316764
1062, 0.306801
1063, 0.338751
1064, 0.345077
1065, 0.337688
1066, 0.328283
1067, 0.285443
1068, 0.330646
1069, 0.321689
1070, 0.334547
1071, 0.344531
1072, 0.342307
1073, 0.368664
1074, 0.36824
1075, 0.324316
1076, 0.35857
1077, 0.385818
1078, 0.365501
1079, 0.319074
1080, 0.316646
1081, 0.339142
1082, 0.359754
1083, 0.354447
1084, 0.340003
1085, 0.329508
1086, 0.357432
1087, 0.317505
1088, 0.38178
1089, 0.339438
1090, 0.333234
1091, 0.366752
1092, 0.363323
1093, 0.393843
1094, 0.337927
1095, 0.365778
1096, 0.338605
1097, 0.339411
1098, 0.33282
1099, 0.330998
1100, 0.329998
1101, 0.33002
1102, 0.328712
1103, 0.307113
1104, 0.308667
1105, 0.32496
1106, 0.3347
1107, 0.345065
1108, 0.311179
1109, 0.335502
1110, 0.359344
1111, 0.326161
1112, 0.285075
1113, 0.363477
1114, 0.328355
1115, 0.309511
1116, 0.315852
1117, 0.319133
1118, 0.333042
1119, 0.299836
1120, 0.304202
1121, 0.27448
1122, 0.327418
1123, 0.292466
1124, 0.341886
1125, 0.314669
1126, 0.335188
1127, 0.304582
1128, 0.302822
1129, 0.294331
1130, 0.304173
1131, 0.315384
1132, 0.312385
1133, 0.313985
1134, 0.318041
1135, 0.301396
1136, 0.30953
1137, 0.294784
1138, 0.295505
1139, 0.268421
1140, 0.269506
1141, 0.271962
1142, 0.29017
1143, 0.28745
1144, 0.281293
1145, 0.28071
1146, 0.29379
1147, 0.265511
1148, 0.291562
1149, 0.292146
1150, 0.286929
1151, 0.299441
1152, 0.325413
1153, 0.259028
1154, 0.287747
1155, 0.266853
1156, 0.273141
1157, 0.275757
1158, 0.307186
1159, 0.27441
1160, 0.272076
1161, 0.297009
1162, 0.299912
1163, 0.270869
1164, 0.304366
1165, 0.293429
1166, 0.334101
1167, 0.279017
1168, 0.312005
1169, 0.283559
1170, 0.315063
1171, 0.336596
1172, 0.295473
1173, 0.316023
1174, 0.317078
1175, 0.279997
1176, 0.277818
1177, 0.313748
1178, 0.317079
1179, 0.299043
1180, 0.303362
1181, 0.323391
1182, 0.325815
1183, 0.333081
1184, 0.302496
1185, 0.327433
1186, 0.326502
1187, 0.292706
1188, 0.306992
